dhs_cc,ctry_code,surv_id,file_type,phase,url
BD,BD,89,KR,3A,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BDKR3AFL.zip&Tp=1&Ctry_Code=BD&surv_id=89&dm=1&dmode=nm
BD,BD,135,KR,41,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BDKR41FL.zip&Tp=1&Ctry_Code=BD&surv_id=135&dm=1&dmode=nm
BD,BD,236,KR,4J,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BDKR4JFL.zip&Tp=1&Ctry_Code=BD&surv_id=236&dm=1&dmode=nm
BD,BD,287,KR,51,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BDKR51FL.zip&Tp=1&Ctry_Code=BD&surv_id=287&dm=1&dmode=nm
BD,BD,349,KR,61,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BDKR61FL.zip&Tp=1&Ctry_Code=BD&surv_id=349&dm=1&dmode=nm
BD,BD,461,KR,72,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BDKR72FL.zip&Tp=1&Ctry_Code=BD&surv_id=461&dm=1&dmode=nm
BD,BD,536,KR,7R,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BDKR7RFL.zip&Tp=1&Ctry_Code=BD&surv_id=536&dm=1&dmode=nm
BD,BD,584,KR,81,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BDKR81FL.zip&Tp=1&Ctry_Code=BD&surv_id=584&dm=1&dmode=nm
BD,BD,59,MR,31,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BDMR31FL.zip&Tp=1&Ctry_Code=BD&surv_id=59&dm=1&dmode=nm
BD,BD,89,MR,3A,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BDMR3AFL.zip&Tp=1&Ctry_Code=BD&surv_id=89&dm=1&dmode=nm
